Dataset,Accuracy,Best_k_nb
BeetleFly,0.75,4
BirdChicken,0.75,1
BME,0.8933333333333333,5
Car,0.5666666666666667,1
CBF,1.0,4
Chinatown,0.9737609329446064,1
Coffee,1.0,1
CricketX,0.4230769230769231,7
CricketZ,0.5,6
CinCECGTorso,0.6420289855072464,1
DiatomSizeReduction,0.9673202614379085,1
DistalPhalanxOutlineAgeGroup,0.7050359712230215,4
DistalPhalanxOutlineCorrect,0.7572463768115942,6
DistalPhalanxTW,0.6330935251798561,3
Computers,0.608,7
Earthquakes,0.762589928057554,6
ECG200,0.81,6
ECG5000,0.9277777777777778,3
FaceAll,0.5497041420118344,7
FacesUCR,0.7073170731707317,1
Fish,0.46285714285714286,3
FordA,0.5772727272727273,7
Fungi,0.7580645161290323,1
FreezerRegularTrain,0.8659649122807017,1
FreezerSmallTrain,0.763859649122807,6
GunPoint,0.8333333333333334,3
GunPointMaleVersusFemale,0.8291139240506329,1
GunPointOldVersusYoung,1.0,1
GunPointAgeSpan,0.9715189873417721,3
